[?1034husig.fChiSqRatio, usig.fChiSquare, usig.fChiSquareInd, usig.fChiSquareIndRestr, usig.fChiSquareIndRestr, usig.fRisetime, usig.fUnshapedInteg, trueChEnergy
-0.904665759204 0.86512222261 4.40188164123 9.06884224353 9.06884224353 12632.6797386 56.2054097044 0.0
-2.2423619532 0.977853929044 115.540796621 212.311852568 212.311852568 5460.51724138 55.7719372685 583.122999997
-2.54657138359 1.81730838972 -1.0 -1.0 -1.0 23382.3447712 41.5487186826 2603.70020001
-2.54657138359 1.81730838972 -1.0 -1.0 -1.0 23382.3447712 70.1301743522 2603.70020001
-2.54657138359 1.81730838972 -1.0 -1.0 -1.0 23382.3447712 71.3703690579 2603.70020001
-1.65934468616 1.23784461309 21.1001055524 34.0279101868 34.0279101868 9374.26108374 59.5626438193 201.320714597
-1.68028813338 0.812662575696 10.8854569618 21.3459845904 21.3459845904 5740.44117647 55.2965701944 182.498071977
-2.7597631293 1.20928291044 -1.0 -1.0 -1.0 5898.8437329 55.1560299797 2399.8186927
-2.7597631293 1.20928291044 -1.0 -1.0 -1.0 5898.8437329 56.5158369454 2399.8186927
-3.15567596197 0.635263864823 -1.0 -1.0 -1.0 17177.4509804 67.7447382197 0.0
-3.087101898 1.18445856039 -1.0 -1.0 -1.0 8836.7816092 62.3041784863 479.439004192
-1.13144161527 0.476191661207 3.91481810838 7.62166761483 7.62166761483 14704.5751634 74.3952263447 34.3843330133
-3.20396329267 0.736351085543 -1.0 -1.0 -1.0 2302.97029703 51.7072913265 227.666251645
-2.96129966 1.42420386295 -1.0 -1.0 -1.0 12031.495098 67.40821899 203.965558136
-0.397205729653 1.08342998876 2.93809907284 5.0754899664 5.0754899664 23373.1617647 76.1832475243 0.0
-1.35761420446 7.66775179014 394.031091032 560.272395768 560.272395768 7047.22222222 64.6308873474 2354.10138604
-2.86177230492 1.16051682164 -1.0 -1.0 -1.0 11332.3529412 50.8502460193 29.4521
-1.73579937798 0.820201500241 29.8484114719 50.106863357 50.106863357 13295.9558824 58.3817996421 365.491824899
