[?1034husig.fChiSqRatio, usig.fChiSquare, usig.fChiSquareInd, usig.fChiSquareIndRestr, usig.fChiSquareIndRestr, usig.fRisetime, usig.fUnshapedInteg, trueChEnergy
-1.94620072442 1.01857254743 45.6869946197 88.3139407853 88.3139407853 14239.2769608 53.4807125458 510.99891
-1.94620072442 1.01857254743 45.6869946197 88.3139407853 88.3139407853 14239.2769608 67.3739904126 510.99891
-2.80081359298 1.34095804647 700.959333614 1158.48639166 1158.48639166 5989.02714932 54.7313564089 1676.92956909
-2.80081359298 1.34095804647 700.959333614 1158.48639166 1158.48639166 5989.02714932 57.4780255885 1676.92956909
-1.05109007732 0.554581997493 2.99796535271 6.03800247366 6.03800247366 13147.0588235 70.9282560571 98.0534804104
-1.10357460573 1.18117853244 10.3447010041 18.1696489099 18.1696489099 6304.76190476 53.5077422262 195.309213847
-2.82217293699 1.03617915809 -1.0 -1.0 -1.0 6561.37254902 34.6987815457 133.239826641
-2.82448373094 1.35456226087 -1.0 -1.0 -1.0 20037.9901961 71.016802235 198.718629116
-3.4037799358 0.735003815234 -1.0 -1.0 -1.0 5669.34640523 51.8359403029 376.548647525
-1.98603837246 0.638037111633 19.6232531833 42.9597474358 42.9597474358 6827.94117647 60.034481445 290.094091608
-2.58291159078 4.04618839814 1714.88132982 2432.95973959 2432.95973959 6519.64545957 89.2808976672 1809.02800844
-2.58291159078 4.04618839814 1714.88132982 2432.95973959 2432.95973959 6519.64545957 57.5031179369 1809.02800844
-3.27181139523 0.970864233871 -1.0 -1.0 -1.0 29878.3823529 43.8734024738 341.534973224
-3.27181139523 0.970864233871 -1.0 -1.0 -1.0 29878.3823529 85.5365704463 341.534973224
-3.16752572234 0.890771903878 -1.0 -1.0 -1.0 6030.11757426 53.1638848958 605.074540806
-1.81537263426 1.35977520437 63.1401212677 104.878877167 104.878877167 7772.79411765 45.1604832676 394.852854043
