[?1034h
usig.fChiSqRatio, usig.fChiSquare, usig.fChiSquareInd, usig.fChiSquareIndRestr, usig.fChiSquareIndRestr, usig.fRisetime, usig.fUnshapedInteg, trueChEnergy
-1.51518684122 1.80805815707 31.1484752736 59.4959045687 59.4959045687 5189.70588235 63.4595634448 356.102056545 270.393908591
-2.01839045596 1.07599687911 61.2531198231 124.224058637 124.224058637 5055.0245098 55.1103823322 388.0022754 392.576575265
-1.16868002858 4.98162906791 116.435672496 225.422342599 225.422342599 7241.11519608 67.3468191341 1042.18569261 765.780095579
-2.78782517467 1.06592493434 258.863877124 517.19951945 517.19951945 5119.70588235 54.2325588292 1267.11805737 583.966604803
-2.78782517467 1.06592493434 258.863877124 517.19951945 517.19951945 5119.70588235 55.579173085 1267.11805737 522.102382193
1.14326691516 5.28291133887 0.991334749818 1.0621399574 1.0621399574 8764.00246305 6.66394341823 0.0 53.3156992496
-2.68401649049 1.34657690035 552.699072155 890.733401883 890.733401883 6213.63662424 56.5392852533 2294.33192402 966.594974871
-2.68401649049 1.34657690035 552.699072155 890.733401883 890.733401883 6213.63662424 60.828743272 2294.33192402 860.317751142
-2.73102712853 1.24869922794 1031.19245624 1146.07784206 1146.07784206 5379.67445351 54.4059956167 2609.75930001 994.666286293
-2.73102712853 1.24869922794 1031.19245624 1146.07784206 1146.07784206 5379.67445351 57.2424120559 2609.75930001 1021.06574772
-1.46027150383 0.936117593901 18.8483410441 31.5987454987 31.5987454987 5750.98039216 52.2207961337 307.319707575 226.267841099
-1.52651455608 1.01225050054 18.8935772839 32.7018643046 32.7018643046 4946.12745098 43.7635203237 275.803292422 212.889667181
-1.05008230534 1.10488587837 7.06119961345 14.5606139271 14.5606139271 5877.91199813 39.236932467 212.841369698 160.810129876
-1.98077387219 0.903204359226 49.373759842 101.417218204 101.417218204 6117.54201681 57.6340409013 578.087099997 468.332449233
-1.50683091227 1.06645708227 13.0893543742 27.1439036209 27.1439036209 5736.58963585 52.45538591 230.078482048 194.17216618
-3.19722691794 0.846719197251 -1.0 -1.0 -1.0 5941.66666667 67.5800310826 59.9893689675 51.2000284091
-1.48759364811 1.30356461612 14.9318929948 28.7662462519 28.7662462519 5127.33990148 56.741741259 226.90563912 215.416460253
-1.3114091537 1.10281328853 9.35779376669 18.7873565843 18.7873565843 6168.50490196 60.2814799051 210.960992357 163.731016901
-1.97502687225 1.34226555527 58.3849736493 107.087246737 107.087246737 5328.73563218 59.7169730809 300.087000013 244.066345871
-2.08817896692 1.86439053654 99.4500954824 170.833658938 170.833658938 5252.03877005 51.493839409 505.995299988 138.749446003
-2.08817896692 1.86439053654 99.4500954824 170.833658938 170.833658938 5252.03877005 53.8479932004 505.995299988 302.25128455
-1.80750610028 1.12885762583 37.8498527585 65.1111805594 65.1111805594 4341.17647059 63.3461434754 448.888087061 347.36499427
-1.14887850921 1.91601777034 16.782491912 36.1621279019 36.1621279019 10632.9248366 62.0246135107 161.763512334 124.896459243
-3.37625894721 0.823030915632 -1.0 -1.0 -1.0 7570.83333333 55.8659695803 73.1181996141 57.433857086
-1.85919208646 1.28829654692 27.5432819512 60.7227822056 60.7227822056 5762.5 57.8167747308 247.087463665 232.894005217
-2.94057371406 1.3615232375 -1.0 -1.0 -1.0 5015.68627451 74.6638104983 79.9745555585 66.8066401552
-3.08442836032 1.41623886672 752.654774471 1360.48876883 1360.48876883 5569.23210664 53.1386840653 1336.02936191 290.118406159
-3.08442836032 1.41623886672 752.654774471 1360.48876883 1360.48876883 5569.23210664 56.3870405425 1336.02936191 763.145362193
-2.36585545663 1.52223759005 115.203410378 205.955709601 205.955709601 5686.29084967 55.8945077257 578.416299997 524.204953368
-1.49043866268 1.04231919624 19.8025156719 39.4114344515 39.4114344515 8423.7745098 61.111529174 248.259468152 199.150856962
-1.97753950232 1.87621313062 66.7280063732 124.168388283 124.168388283 4929.16666667 51.2299381216 389.222887947 309.128776939
-3.19759575621 0.978092663611 976.728303736 1490.76740808 1490.76740808 5438.78025693 53.7761045888 2063.97679444 399.888068255
-3.19759575621 0.978092663611 976.728303736 1490.76740808 1490.76740808 5438.78025693 56.6069573155 2063.97679444 1434.92861315
-1.89745683342 0.969871000888 55.277804004 103.736630979 103.736630979 5736.06004902 61.3361361242 457.631902058 421.360761858
-2.35482043605 0.949719602194 58.7950697257 110.221250063 110.221250063 6237.07920792 39.0909543794 356.703778787 39.7516941195
-2.35482043605 0.949719602194 58.7950697257 110.221250063 110.221250063 6237.07920792 63.4267740909 356.703778787 273.348406262
-1.94377357477 1.38855428606 67.4478291966 131.710278623 131.710278623 6693.06930693 41.1061514459 510.99891 41.9564422623
-1.94377357477 1.38855428606 67.4478291966 131.710278623 131.710278623 6693.06930693 61.6877859118 510.99891 371.468720108
-2.80816178564 1.56410221923 795.115561798 1481.2020705 1481.2020705 5409.10364146 54.751864835 1642.71009036 645.179235356
-2.80816178564 1.56410221923 795.115561798 1481.2020705 1481.2020705 5409.10364146 57.3470790351 1642.71009036 594.943395771
-0.822138473986 1.17102564876 5.76469774298 8.67831769235 8.67831769235 3406.8627451 33.9700566292 194.767715643 139.907170922
-1.70015612509 0.511854801359 15.3500272279 26.067303708 26.067303708 6419.16666667 51.3835322295 261.282584007 255.644835504
-3.00983217268 1.12205786561 -1.0 -1.0 -1.0 12211.7647059 35.4442995668 62.636111612 52.1118741961
-1.69722228232 1.14341490147 16.6508540822 37.5935920097 37.5935920097 4812.74509804 44.2087800213 232.485177636 201.11810104
-1.75399025795 0.968093765882 35.7136833841 61.4118960935 61.4118960935 5786.61151961 55.2841255656 583.190999997 459.71465116
-2.86975928295 1.46313701266 751.039244734 1195.08090466 1195.08090466 5982.26890756 55.6775972377 1875.65007518 1005.67015099
-2.86975928295 1.46313701266 751.039244734 1195.08090466 1195.08090466 5982.26890756 58.5696129185 1875.65007518 704.061906008
-0.925998245497 1.55801797857 10.2993369301 16.0186951921 16.0186951921 14778.75 40.6859336344 251.410181919 90.0688737414
-0.925998245497 1.55801797857 10.2993369301 16.0186951921 16.0186951921 14778.75 66.9147750732 251.410181919 110.818835591
-1.49874423093 1.1775210817 22.4908538498 39.3871907208 39.3871907208 5414.65346535 48.9659426167 358.372068341 277.464297895
-1.85104988487 1.02383437823 40.6125976622 85.5579992472 85.5579992472 5797.4137931 57.01739596 394.372882268 362.445713291
-1.19720727396 0.89407665292 5.71861811139 11.569903307 11.569903307 5565.0 48.1158976655 151.728802541 146.744291929
-0.239740033163 1.31966782279 2.46509123748 2.35959595658 2.35959595658 5659.31372549 59.3566120017 85.2645194471 61.3323988712
-1.83195233908 1.30075669792 67.6441199586 143.304743386 143.304743386 4378.35820896 47.8990781703 346.61733991 267.131408172
-0.865169483122 1.08255611717 5.72841044693 12.5420801926 12.5420801926 3178.28839869 37.2990039451 184.665346157 114.869739946
-1.81757031961 0.941403103251 25.7591671657 50.3717241909 50.3717241909 5545.58823529 50.2713854888 301.976190788 282.476886734
-1.85472728353 0.876313365899 23.7582093267 44.7789011975 44.7789011975 6141.17647059 51.9897481181 281.141809207 265.454705391
-2.08800342408 0.891283051684 46.855707519 96.6158308154 96.6158308154 8446.46766169 56.5868521692 440.118142504 125.815181396
-2.08800342408 0.891283051684 46.855707519 96.6158308154 96.6158308154 8446.46766169 62.9360786583 440.118142504 217.812431856
-3.15728858227 1.04388724794 674.026631267 1274.122793 1274.122793 5680.8649615 53.2749159834 1345.3557456 422.586236448
-3.15728858227 1.04388724794 674.026631267 1274.122793 1274.122793 5680.8649615 55.7268217789 1345.3557456 832.103858441
-1.54287473745 1.63977987309 24.9827070435 37.1745196798 37.1745196798 5750.0 44.1354057546 201.297430795 161.194981509
-2.75626410474 0.730125792011 222.940085847 416.109766524 416.109766524 4931.17944147 54.918688086 992.787732824 403.461014605
-2.75626410474 0.730125792011 222.940085847 416.109766524 416.109766524 4931.17944147 56.4461884418 992.787732824 361.590898243
-2.44267337091 0.751905076193 159.170529922 314.940872446 314.940872446 4898.4375 54.9836051026 720.296471668 547.349328958
-2.44779418608 1.09656400366 177.716333575 318.063267568 318.063267568 4741.56862745 51.6486027358 892.462128973 311.09984848
-2.44779418608 1.09656400366 177.716333575 318.063267568 318.063267568 4741.56862745 53.1297525089 892.462128973 333.869786395
-2.42432697049 1.09584291949 210.126598339 399.862977135 399.862977135 5822.57965686 56.1527323084 819.041586256 801.186613332
-1.36901977214 1.42522224865 11.6578179696 21.8438154085 21.8438154085 6193.75 42.8976805717 192.141255258 187.938761676
